DATE,Temperature,Ws,Rain,RH,FFMC,DMC,DC,ISI,BUI,FWI,Classes,Region,fire_label
2021-06-01,27,13,2.1,59,63.6,5.2,8.3,1.0,5.0,0.4,not fire,Bejaia,0
2021-06-02,24,10,0.3,72,55.1,4.1,7.7,0.5,4.0,0.2,not fire,Bejaia,0
2021-06-03,27,11,3.0,76,47.1,3.0,8.3,0.2,3.2,0.1,not fire,Bejaia,0
2021-06-04,28,9,1.0,70,52.3,3.1,8.4,0.3,3.2,0.1,not fire,Bejaia,0
2021-06-05,28,11,0.1,64,73.4,4.5,16.9,1.6,5.4,0.7,not fire,Bejaia,0
2021-06-06,22,14,0.5,89,58.3,3.4,24.3,0.7,5.4,0.3,not fire,Bejaia,0
2021-06-07,23,11,1.0,86,37.2,2.0,12.9,0.0,2.9,0.0,not fire,Bejaia,0
2021-06-08,25,11,0.0,72,67.7,3.9,20.8,1.0,5.3,0.4,not fire,Bejaia,0
2021-06-09,26,14,0.0,51,81.0,6.1,27.0,2.6,7.8,2.1,not fire,Bejaia,0
2021-06-10,26,13,0.0,54,86.6,9.4,35.1,5.0,11.3,5.8,not fire,Bejaia,0
2021-06-11,26,16,0.0,54,87.5,12.7,43.2,6.7,14.6,8.7,not fire,Bejaia,0
2021-06-12,28,17,0.0,51,88.4,16.4,51.7,8.1,18.3,11.3,fire,Bejaia,1
2021-06-13,28,14,0.0,44,89.6,20.7,60.1,8.2,22.3,12.7,fire,Bejaia,1
2021-06-14,29,12,0.0,44,89.8,25.2,68.7,7.8,26.3,13.2,not fire,Bejaia,0
2021-06-15,31,18,0.2,42,83.7,20.8,70.9,4.4,24.0,7.8,not fire,Bejaia,0
2021-06-16,32,10,1.1,56,70.5,11.8,31.6,1.1,12.2,0.7,not fire,Bejaia,0
2021-06-17,30,12,0.0,62,84.2,14.9,40.4,3.5,15.5,4.8,not fire,Bejaia,0
2021-06-18,30,12,0.1,67,77.8,14.4,49.2,1.7,16.6,2.1,not fire,Bejaia,0
2021-06-19,33,18,0.2,61,78.8,12.1,52.0,2.5,15.3,3.3,not fire,Bejaia,0
2021-06-20,25,15,0.0,79,81.6,13.6,59.9,2.9,17.3,4.3,not fire,Bejaia,0
2021-06-21,26,13,0.0,55,86.5,16.8,68.0,5.0,20.8,8.1,not fire,Bejaia,0
2021-06-22,27,13,0.0,50,88.3,20.5,76.3,6.4,24.5,11.0,not fire,Bejaia,0
2021-06-23,25,10,0.0,69,86.7,22.6,84.2,4.4,27.1,8.5,not fire,Bejaia,0
2021-06-24,25,16,0.6,68,61.5,12.0,65.4,1.0,16.5,0.8,not fire,Bejaia,0
2021-06-25,26,18,0.4,85,47.8,86.8,57.2,0.3,10.5,0.2,not fire,Bejaia,0
2021-06-26,30,11,0.0,58,80.2,10.2,66.0,2.0,14.8,2.5,not fire,Bejaia,0
2021-06-27,27,14,0.0,87,80.5,11.2,74.2,2.4,16.3,3.3,not fire,Bejaia,0
2021-06-28,28,10,0.0,71,82.3,12.7,80.9,2.5,18.2,3.7,not fire,Bejaia,0
2021-06-29,28,14,0.0,61,84.4,14.6,87.5,3.9,20.6,6.5,not fire,Bejaia,0
2021-06-30,27,17,0.0,65,85.7,17.2,95.8,5.5,23.8,9.4,not fire,Bejaia,0
2021-07-01,29,14,0.0,66,85.9,8.4,23.9,4.8,8.9,4.9,not fire,Bejaia,0
2021-07-02,31,13,0.0,57,87.7,11.6,33.2,6.0,12.4,7.2,not fire,Bejaia,0
2021-07-03,35,12,0.0,39,91.7,16.8,43.2,9.9,17.0,12.9,fire,Bejaia,1
2021-07-04,32,11,0.0,37,91.8,21.7,52.7,9.6,21.7,14.2,fire,Bejaia,1
2021-07-05,32,16,0.0,44,91.7,25.8,61.8,12.3,25.8,18.6,fire,Bejaia,1
2021-07-06,34,15,0.0,40,91.8,30.8,71.7,11.8,30.8,19.7,fire,Bejaia,1
2021-07-07,34,17,0.0,47,91.8,35.2,81.5,13.1,35.1,22.6,fire,Bejaia,1
2021-07-08,28,12,0.1,66,79.2,31.5,90.2,2.5,33.7,5.6,not fire,Bejaia,0
2021-07-09,28,22,0.1,83,70.7,27.3,99.0,1.9,32.3,4.3,not fire,Bejaia,0
2021-07-10,31,18,0.0,62,85.0,30.1,108.3,5.2,35.5,11.4,not fire,Bejaia,0
2021-07-11,35,13,0.0,45,90.4,34.8,118.3,8.7,40.1,18.0,fire,Bejaia,1
2021-07-12,37,14,0.0,38,92.4,40.4,128.6,12.1,45.2,24.2,fire,Bejaia,1
2021-07-13,31,18,2.2,84,52.8,13.9,31.1,0.6,13.8,0.4,not fire,Bejaia,0
2021-07-14,26,22,0.0,76,75.7,15.4,39.4,2.4,15.6,3.2,not fire,Bejaia,0
2021-07-15,28,23,1.0,62,72.5,9.3,8.7,2.3,8.9,1.9,not fire,Bejaia,0
