latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,source_file,pull_type,brightness,bright_t31,type
36.5171,4.2782,,1.6,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,43.8,N,firms_modis_sp_kabylie_aug_2021.csv,historical,331.4,303.5,0.0
36.79965,10.28588,308.7,0.43,0.38,2021-08-09,57,N,VIIRS,n,2,297.97,4.04,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
36.79676,10.28367,313.1,0.43,0.38,2021-08-09,57,N,VIIRS,n,2,297.87,4.31,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
36.74711,6.25637,319.75,0.44,0.46,2021-08-09,57,N,VIIRS,n,2,295.92,1.8,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
36.73005,6.25382,305.52,0.44,0.46,2021-08-09,57,N,VIIRS,n,2,294.85,0.78,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
36.69403,6.32784,309.98,0.43,0.46,2021-08-09,57,N,VIIRS,n,2,299.34,2.14,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
35.9253,9.55707,325.82,0.45,0.39,2021-08-09,57,N,VIIRS,n,2,300.6,6.83,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
35.92318,9.55892,333.45,0.45,0.39,2021-08-09,57,N,VIIRS,n,2,302.59,12.43,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
35.92177,9.55616,336.6,0.45,0.39,2021-08-09,57,N,VIIRS,n,2,299.42,6.83,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
36.5188,4.2956,,1.6,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,108.9,N,firms_modis_sp_kabylie_aug_2021.csv,historical,350.8,305.5,0.0
36.5199,4.1916,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,385.8,N,firms_modis_sp_kabylie_aug_2021.csv,historical,393.0,312.3,0.0
36.5304,4.4178,,1.6,1.2,2021-08-09,2207,Terra,MODIS,92,6.03,,19.2,N,firms_modis_sp_kabylie_aug_2021.csv,historical,316.9,302.5,0.0
36.531,4.1909,,1.5,1.2,2021-08-09,2207,Terra,MODIS,95,6.03,,13.0,N,firms_modis_sp_kabylie_aug_2021.csv,historical,317.9,303.5,0.0
36.5403,4.1726,,1.5,1.2,2021-08-09,2207,Terra,MODIS,99,6.03,,15.3,N,firms_modis_sp_kabylie_aug_2021.csv,historical,319.6,303.3,0.0
36.5416,4.4167,,1.6,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,61.2,N,firms_modis_sp_kabylie_aug_2021.csv,historical,335.7,303.9,0.0
36.542,4.1894,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,21.6,N,firms_modis_sp_kabylie_aug_2021.csv,historical,323.0,303.6,0.0
36.5431,4.4319,,1.6,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,54.6,N,firms_modis_sp_kabylie_aug_2021.csv,historical,333.5,302.6,0.0
36.5436,4.2062,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,32.1,N,firms_modis_sp_kabylie_aug_2021.csv,historical,328.1,303.6,0.0
36.5639,4.1863,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,52.0,N,firms_modis_sp_kabylie_aug_2021.csv,historical,336.1,304.2,0.0
36.5636,4.1636,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,167.3,N,firms_modis_sp_kabylie_aug_2021.csv,historical,364.7,309.1,0.0
36.5622,4.1695,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,215.9,N,firms_modis_sp_kabylie_aug_2021.csv,historical,372.5,308.3,0.0
36.562,4.1469,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,40.7,N,firms_modis_sp_kabylie_aug_2021.csv,historical,331.7,305.5,0.0
36.5605,4.1526,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,172.5,N,firms_modis_sp_kabylie_aug_2021.csv,historical,365.3,307.9,0.0
36.5551,4.323,,1.6,1.2,2021-08-09,2207,Terra,MODIS,75,6.03,,12.4,N,firms_modis_sp_kabylie_aug_2021.csv,historical,314.7,301.3,0.0
34.44396,5.88931,317.83,0.43,0.46,2021-08-09,58,N,VIIRS,n,2,299.71,3.0,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
36.5546,4.205,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,42.3,N,firms_modis_sp_kabylie_aug_2021.csv,historical,332.2,304.0,0.0
36.553,4.188,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,47.9,N,firms_modis_sp_kabylie_aug_2021.csv,historical,334.5,304.4,0.0
36.5528,4.4151,,1.6,1.2,2021-08-09,2207,Terra,MODIS,79,6.03,,11.7,N,firms_modis_sp_kabylie_aug_2021.csv,historical,313.7,302.7,0.0
36.5512,4.1708,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,294.3,N,firms_modis_sp_kabylie_aug_2021.csv,historical,383.1,312.0,0.0
36.5496,4.1544,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,121.1,N,firms_modis_sp_kabylie_aug_2021.csv,historical,355.3,306.9,0.0
36.548,4.1378,,1.5,1.2,2021-08-09,2207,Terra,MODIS,95,6.03,,13.3,N,firms_modis_sp_kabylie_aug_2021.csv,historical,318.2,303.0,0.0
36.5453,4.223,,1.5,1.2,2021-08-09,2207,Terra,MODIS,98,6.03,,15.2,N,firms_modis_sp_kabylie_aug_2021.csv,historical,319.2,303.1,0.0
36.5543,4.4312,,1.6,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,60.6,N,firms_modis_sp_kabylie_aug_2021.csv,historical,336.0,302.7,0.0
36.5652,4.1804,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,50.8,N,firms_modis_sp_kabylie_aug_2021.csv,historical,335.7,304.1,0.0
35.30809,8.02413,306.76,0.52,0.41,2021-08-09,58,N,VIIRS,n,2,294.7,1.85,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
35.31187,8.025,323.87,0.52,0.41,2021-08-09,58,N,VIIRS,n,2,299.56,4.1,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
34.99237,0.98455,335.7,0.6,0.53,2021-08-09,1218,N,VIIRS,n,2,299.25,7.63,D,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
34.98933,0.99332,337.66,0.6,0.53,2021-08-09,1218,N,VIIRS,n,2,300.67,4.72,D,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
33.57698,-3.94523,344.48,0.6,0.71,2021-08-09,1218,N,VIIRS,n,2,309.9,5.28,D,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
35.33878,9.15618,346.9,0.39,0.37,2021-08-09,1217,N,VIIRS,n,2,320.01,9.33,D,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
35.33618,9.1614,367.0,0.39,0.36,2021-08-09,1217,N,VIIRS,h,2,327.1,8.48,D,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
35.33546,9.15704,344.14,0.39,0.37,2021-08-09,1217,N,VIIRS,n,2,318.87,8.48,D,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
27.55868,-0.24133,338.93,0.52,0.67,2021-08-09,1216,N,VIIRS,n,2,305.49,5.94,D,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
35.60235,-5.43154,303.68,0.42,0.45,2021-08-09,239,N,VIIRS,n,2,290.04,0.79,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
32.55547,3.17381,329.64,0.72,0.76,2021-08-09,239,N,VIIRS,n,2,293.12,4.43,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
32.55013,3.174,304.45,0.72,0.76,2021-08-09,239,N,VIIRS,n,2,291.69,6.27,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
36.33388,5.48561,301.05,0.75,0.77,2021-08-09,238,N,VIIRS,n,2,290.98,0.78,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
28.5669,9.23295,326.49,0.4,0.37,2021-08-09,100,N,VIIRS,n,2,296.78,1.91,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
28.56351,9.23234,328.1,0.4,0.37,2021-08-09,100,N,VIIRS,n,2,296.29,2.84,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
31.90214,6.06328,317.4,0.39,0.44,2021-08-09,59,N,VIIRS,n,2,300.43,1.15,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
31.64779,9.17044,325.87,0.43,0.38,2021-08-09,59,N,VIIRS,n,2,301.41,2.98,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
31.58535,5.95227,313.89,0.39,0.44,2021-08-09,59,N,VIIRS,n,2,298.65,1.3,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
30.18831,7.68622,330.95,0.47,0.4,2021-08-09,59,N,VIIRS,n,2,298.68,3.3,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
35.3125,8.01951,315.7,0.52,0.41,2021-08-09,58,N,VIIRS,n,2,296.64,4.1,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
35.31502,8.03121,326.01,0.52,0.41,2021-08-09,58,N,VIIRS,n,2,298.0,2.55,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
35.31566,8.02578,324.68,0.52,0.41,2021-08-09,58,N,VIIRS,n,2,300.89,4.1,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
35.31628,8.02034,339.89,0.52,0.41,2021-08-09,58,N,VIIRS,n,2,300.58,4.1,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
35.31882,8.03191,315.02,0.52,0.41,2021-08-09,58,N,VIIRS,n,2,297.18,1.74,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
35.31954,7.10526,333.0,0.57,0.43,2021-08-09,58,N,VIIRS,n,2,295.05,5.02,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
35.31123,8.03047,310.53,0.52,0.41,2021-08-09,58,N,VIIRS,n,2,295.59,2.55,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
35.32007,8.02114,305.73,0.52,0.41,2021-08-09,58,N,VIIRS,n,2,294.89,2.33,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
35.33346,7.12647,337.84,0.57,0.43,2021-08-09,58,N,VIIRS,n,2,295.62,6.37,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
35.33856,9.15845,310.93,0.46,0.39,2021-08-09,58,N,VIIRS,n,2,296.99,2.32,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
35.45395,4.96385,309.18,0.49,0.49,2021-08-09,58,N,VIIRS,n,2,295.46,1.2,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
35.76607,7.36277,304.99,0.56,0.43,2021-08-09,58,N,VIIRS,n,2,294.93,1.67,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
28.87808,9.94933,312.24,0.39,0.36,2021-08-09,59,N,VIIRS,n,2,297.17,1.7,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
28.89239,9.96856,306.38,0.39,0.36,2021-08-09,59,N,VIIRS,n,2,296.13,0.38,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
35.33012,7.11994,307.63,0.57,0.43,2021-08-09,58,N,VIIRS,n,2,293.16,1.96,N,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
34.99383,0.99062,356.08,0.6,0.53,2021-08-09,1218,N,VIIRS,n,2,308.67,20.84,D,firms_viirs_snpp_sp_kabylie_aug_2021.csv,historical,,,0.0
36.5655,4.2023,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,30.2,N,firms_modis_sp_kabylie_aug_2021.csv,historical,326.7,303.1,0.0
36.5715,4.1512,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,146.3,N,firms_modis_sp_kabylie_aug_2021.csv,historical,360.5,307.4,0.0
36.6627,4.3793,,1.6,1.2,2021-08-09,2207,Terra,MODIS,77,6.03,,15.9,N,firms_modis_sp_kabylie_aug_2021.csv,historical,316.2,299.7,0.0
36.6632,4.5014,,1.6,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,36.7,N,firms_modis_sp_kabylie_aug_2021.csv,historical,325.7,301.1,0.0
36.6648,4.5185,,1.6,1.3,2021-08-09,2207,Terra,MODIS,82,6.03,,14.4,N,firms_modis_sp_kabylie_aug_2021.csv,historical,313.7,300.5,0.0
36.6882,4.4031,,1.6,1.2,2021-08-09,2207,Terra,MODIS,81,6.03,,18.6,N,firms_modis_sp_kabylie_aug_2021.csv,historical,317.8,301.2,0.0
36.6882,4.4091,,1.6,1.2,2021-08-09,2207,Terra,MODIS,84,6.03,,21.4,N,firms_modis_sp_kabylie_aug_2021.csv,historical,319.6,301.6,0.0
36.6898,4.6602,,1.6,1.3,2021-08-09,2207,Terra,MODIS,78,6.03,,13.4,N,firms_modis_sp_kabylie_aug_2021.csv,historical,312.4,299.7,0.0
36.6993,4.5231,,1.6,1.3,2021-08-09,2207,Terra,MODIS,87,6.03,,15.3,N,firms_modis_sp_kabylie_aug_2021.csv,historical,314.6,300.2,0.0
36.7104,4.3989,,1.6,1.2,2021-08-09,2207,Terra,MODIS,54,6.03,,14.3,N,firms_modis_sp_kabylie_aug_2021.csv,historical,315.1,300.6,0.0
36.7119,4.415,,1.6,1.2,2021-08-09,2207,Terra,MODIS,77,6.03,,16.4,N,firms_modis_sp_kabylie_aug_2021.csv,historical,316.1,300.7,0.0
36.723,4.4133,,1.6,1.2,2021-08-09,2207,Terra,MODIS,51,6.03,,10.5,N,firms_modis_sp_kabylie_aug_2021.csv,historical,312.5,300.0,0.0
36.7435,4.6302,,1.6,1.3,2021-08-09,2207,Terra,MODIS,100,6.03,,40.1,N,firms_modis_sp_kabylie_aug_2021.csv,historical,327.8,302.2,0.0
36.7452,4.649,,1.6,1.3,2021-08-09,2207,Terra,MODIS,100,6.03,,87.6,N,firms_modis_sp_kabylie_aug_2021.csv,historical,343.1,303.4,0.0
36.7471,4.6689,,1.7,1.3,2021-08-09,2207,Terra,MODIS,89,6.03,,14.8,N,firms_modis_sp_kabylie_aug_2021.csv,historical,315.9,301.5,0.0
36.7531,4.6108,,1.6,1.3,2021-08-09,2207,Terra,MODIS,100,6.03,,26.2,N,firms_modis_sp_kabylie_aug_2021.csv,historical,321.8,302.1,0.0
36.7548,4.6294,,1.6,1.3,2021-08-09,2207,Terra,MODIS,100,6.03,,46.3,N,firms_modis_sp_kabylie_aug_2021.csv,historical,330.8,302.0,0.0
36.7566,4.6485,,1.6,1.3,2021-08-09,2207,Terra,MODIS,100,6.03,,475.4,N,firms_modis_sp_kabylie_aug_2021.csv,historical,397.1,309.6,0.0
36.7585,4.6679,,1.7,1.3,2021-08-09,2207,Terra,MODIS,100,6.03,,123.4,N,firms_modis_sp_kabylie_aug_2021.csv,historical,352.0,302.8,0.0
36.8401,4.1078,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,31.1,N,firms_modis_sp_kabylie_aug_2021.csv,historical,322.7,298.6,0.0
36.8353,4.2841,,1.6,1.2,2021-08-09,2207,Terra,MODIS,90,6.03,,17.6,N,firms_modis_sp_kabylie_aug_2021.csv,historical,315.4,300.0,0.0
36.8319,4.1187,,1.5,1.2,2021-08-09,2207,Terra,MODIS,83,6.03,,14.0,N,firms_modis_sp_kabylie_aug_2021.csv,historical,312.5,298.1,0.0
36.8303,4.101,,1.5,1.2,2021-08-09,2207,Terra,MODIS,84,6.03,,14.3,N,firms_modis_sp_kabylie_aug_2021.csv,historical,312.8,297.5,0.0
36.8289,4.1078,,1.5,1.2,2021-08-09,2207,Terra,MODIS,90,6.03,,18.3,N,firms_modis_sp_kabylie_aug_2021.csv,historical,315.3,297.7,0.0
36.7821,4.561,,1.6,1.3,2021-08-09,2207,Terra,MODIS,80,6.03,,10.1,N,firms_modis_sp_kabylie_aug_2021.csv,historical,312.0,298.9,0.0
36.634,4.2013,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,31.7,N,firms_modis_sp_kabylie_aug_2021.csv,historical,325.3,302.1,0.0
36.7814,4.5484,,1.6,1.3,2021-08-09,2207,Terra,MODIS,74,6.03,,8.8,N,firms_modis_sp_kabylie_aug_2021.csv,historical,310.7,298.6,0.0
36.779,4.6423,,1.6,1.3,2021-08-09,2207,Terra,MODIS,100,6.03,,120.1,N,firms_modis_sp_kabylie_aug_2021.csv,historical,351.2,302.1,0.0
36.7773,4.6244,,1.6,1.3,2021-08-09,2207,Terra,MODIS,80,6.03,,12.4,N,firms_modis_sp_kabylie_aug_2021.csv,historical,314.8,300.0,0.0
36.7697,4.6654,,1.7,1.3,2021-08-09,2207,Terra,MODIS,100,6.03,,199.4,N,firms_modis_sp_kabylie_aug_2021.csv,historical,365.8,305.8,0.0
36.7678,4.6447,,1.6,1.3,2021-08-09,2207,Terra,MODIS,100,6.03,,279.3,N,firms_modis_sp_kabylie_aug_2021.csv,historical,377.2,307.5,0.0
36.766,4.626,,1.6,1.3,2021-08-09,2207,Terra,MODIS,100,6.03,,31.6,N,firms_modis_sp_kabylie_aug_2021.csv,historical,325.0,300.7,0.0
36.7644,4.6093,,1.6,1.3,2021-08-09,2207,Terra,MODIS,100,6.03,,38.9,N,firms_modis_sp_kabylie_aug_2021.csv,historical,327.6,302.0,0.0
36.781,4.6633,,1.7,1.3,2021-08-09,2207,Terra,MODIS,100,6.03,,103.2,N,firms_modis_sp_kabylie_aug_2021.csv,historical,346.9,302.4,0.0
36.5667,4.1964,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,35.6,N,firms_modis_sp_kabylie_aug_2021.csv,historical,328.9,303.3,0.0
36.6325,4.1859,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,28.5,N,firms_modis_sp_kabylie_aug_2021.csv,historical,324.2,302.0,0.0
36.6277,4.1375,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,35.6,N,firms_modis_sp_kabylie_aug_2021.csv,historical,327.2,300.0,0.0
36.5729,4.1451,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,75.8,N,firms_modis_sp_kabylie_aug_2021.csv,historical,343.8,305.3,0.0
36.5732,4.168,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,72.6,N,firms_modis_sp_kabylie_aug_2021.csv,historical,343.1,305.5,0.0
36.5746,4.1624,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,116.8,N,firms_modis_sp_kabylie_aug_2021.csv,historical,354.7,307.0,0.0
36.5748,4.1834,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,17.2,N,firms_modis_sp_kabylie_aug_2021.csv,historical,321.0,302.3,0.0
36.5761,4.1781,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,21.5,N,firms_modis_sp_kabylie_aug_2021.csv,historical,323.3,303.1,0.0
36.5764,4.1994,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,18.0,N,firms_modis_sp_kabylie_aug_2021.csv,historical,320.4,301.7,0.0
36.5776,4.1936,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,17.8,N,firms_modis_sp_kabylie_aug_2021.csv,historical,321.1,301.7,0.0
36.5839,4.1437,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,18.5,N,firms_modis_sp_kabylie_aug_2021.csv,historical,321.6,304.0,0.0
36.5855,4.1606,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,38.9,N,firms_modis_sp_kabylie_aug_2021.csv,historical,331.9,304.8,0.0
36.587,4.1761,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,24.8,N,firms_modis_sp_kabylie_aug_2021.csv,historical,324.8,302.7,0.0
36.5886,4.1925,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,23.4,N,firms_modis_sp_kabylie_aug_2021.csv,historical,322.7,302.0,0.0
36.5947,4.1407,,1.5,1.2,2021-08-09,2207,Terra,MODIS,100,6.03,,31.4,N,firms_modis_sp_kabylie_aug_2021.csv,historical,327.8,304.5,0.0
